experiment,run,repetition,seed,serviceTimes [us],serverAddresses,protocol
0,1,1,1,[20481],['192.168.1.105:6666'],quicBaseline
0,1,2,2,[20583],['192.168.1.105:6666'],quicBaseline
0,1,3,3,[20484],['192.168.1.105:6666'],quicBaseline
0,1,4,4,[20628],['192.168.1.105:6666'],quicBaseline
0,1,5,5,[20415],['192.168.1.105:6666'],quicBaseline
0,1,6,6,[20289],['192.168.1.105:6666'],quicBaseline
0,1,7,7,[20409],['192.168.1.105:6666'],quicBaseline
0,1,8,8,[20128],['192.168.1.105:6666'],quicBaseline
0,1,9,9,[20178],['192.168.1.105:6666'],quicBaseline
0,1,10,10,[20366],['192.168.1.105:6666'],quicBaseline
0,1,11,11,[20600],['192.168.1.105:6666'],quicBaseline
0,1,12,12,[20730],['192.168.1.105:6666'],quicBaseline
0,1,13,13,[20598],['192.168.1.105:6666'],quicBaseline
0,1,14,14,[20426],['192.168.1.105:6666'],quicBaseline
0,1,15,15,[20653],['192.168.1.105:6666'],quicBaseline
0,1,16,16,[20438],['192.168.1.105:6666'],quicBaseline
0,1,17,17,[20514],['192.168.1.105:6666'],quicBaseline
0,1,18,18,[20281],['192.168.1.105:6666'],quicBaseline
0,1,19,19,[20348],['192.168.1.105:6666'],quicBaseline
0,1,20,20,[20411],['192.168.1.105:6666'],quicBaseline
0,1,21,21,[20484],['192.168.1.105:6666'],quicBaseline
0,1,22,22,[20658],['192.168.1.105:6666'],quicBaseline
0,1,23,23,[20520],['192.168.1.105:6666'],quicBaseline
0,1,24,24,[20774],['192.168.1.105:6666'],quicBaseline
0,1,25,25,[20378],['192.168.1.105:6666'],quicBaseline
0,1,26,26,[20640],['192.168.1.105:6666'],quicBaseline
0,1,27,27,[20190],['192.168.1.105:6666'],quicBaseline
0,1,28,28,[20246],['192.168.1.105:6666'],quicBaseline
0,1,29,29,[21039],['192.168.1.105:6666'],quicBaseline
0,1,30,30,[20285],['192.168.1.105:6666'],quicBaseline
0,1,31,31,[20632],['192.168.1.105:6666'],quicBaseline
0,1,32,32,[20682],['192.168.1.105:6666'],quicBaseline
0,1,33,33,[20555],['192.168.1.105:6666'],quicBaseline
0,1,34,34,[20349],['192.168.1.105:6666'],quicBaseline
0,1,35,35,[20391],['192.168.1.105:6666'],quicBaseline
0,1,36,36,[20830],['192.168.1.105:6666'],quicBaseline
0,1,37,37,[20809],['192.168.1.105:6666'],quicBaseline
0,1,38,38,[20498],['192.168.1.105:6666'],quicBaseline
0,1,39,39,[20239],['192.168.1.105:6666'],quicBaseline
0,1,40,40,[20901],['192.168.1.105:6666'],quicBaseline
0,1,41,41,[20837],['192.168.1.105:6666'],quicBaseline
0,1,42,42,[20287],['192.168.1.105:6666'],quicBaseline
0,1,43,43,[20844],['192.168.1.105:6666'],quicBaseline
0,1,44,44,[125680],['192.168.1.105:6666'],quicBaseline
0,1,45,45,[20351],['192.168.1.105:6666'],quicBaseline
0,1,46,46,[20121],['192.168.1.105:6666'],quicBaseline
0,1,47,47,[20292],['192.168.1.105:6666'],quicBaseline
0,1,48,48,[20857],['192.168.1.105:6666'],quicBaseline
0,1,49,49,[20689],['192.168.1.105:6666'],quicBaseline
0,1,50,50,[20207],['192.168.1.105:6666'],quicBaseline
0,1,51,51,[20585],['192.168.1.105:6666'],quicBaseline
0,1,52,52,[21007],['192.168.1.105:6666'],quicBaseline
0,1,53,53,[20529],['192.168.1.105:6666'],quicBaseline
0,1,54,54,[20745],['192.168.1.105:6666'],quicBaseline
0,1,55,55,[20687],['192.168.1.105:6666'],quicBaseline
0,1,56,56,[20759],['192.168.1.105:6666'],quicBaseline
0,1,57,57,[20495],['192.168.1.105:6666'],quicBaseline
0,1,58,58,[20349],['192.168.1.105:6666'],quicBaseline
0,1,59,59,[20707],['192.168.1.105:6666'],quicBaseline
0,1,60,60,[20172],['192.168.1.105:6666'],quicBaseline
0,1,61,61,[20052],['192.168.1.105:6666'],quicBaseline
0,1,62,62,[20653],['192.168.1.105:6666'],quicBaseline
0,1,63,63,[20363],['192.168.1.105:6666'],quicBaseline
0,1,64,64,[20534],['192.168.1.105:6666'],quicBaseline
0,1,65,65,[20600],['192.168.1.105:6666'],quicBaseline
0,1,66,66,[20564],['192.168.1.105:6666'],quicBaseline
0,1,67,67,[20720],['192.168.1.105:6666'],quicBaseline
0,1,68,68,[20329],['192.168.1.105:6666'],quicBaseline
0,1,69,69,[20361],['192.168.1.105:6666'],quicBaseline
0,1,70,70,[20418],['192.168.1.105:6666'],quicBaseline
0,1,71,71,[20519],['192.168.1.105:6666'],quicBaseline
0,1,72,72,[20307],['192.168.1.105:6666'],quicBaseline
0,1,73,73,[20640],['192.168.1.105:6666'],quicBaseline
0,1,74,74,[20495],['192.168.1.105:6666'],quicBaseline
0,1,75,75,[20281],['192.168.1.105:6666'],quicBaseline
0,1,76,76,[20070],['192.168.1.105:6666'],quicBaseline
0,1,77,77,[21131],['192.168.1.105:6666'],quicBaseline
0,1,78,78,[20207],['192.168.1.105:6666'],quicBaseline
0,1,79,79,[20695],['192.168.1.105:6666'],quicBaseline
0,1,80,80,[20193],['192.168.1.105:6666'],quicBaseline
0,1,81,81,[20326],['192.168.1.105:6666'],quicBaseline
0,1,82,82,[20785],['192.168.1.105:6666'],quicBaseline
0,1,83,83,[20190],['192.168.1.105:6666'],quicBaseline
0,1,84,84,[20416],['192.168.1.105:6666'],quicBaseline
0,1,85,85,[20824],['192.168.1.105:6666'],quicBaseline
0,1,86,86,[20285],['192.168.1.105:6666'],quicBaseline
0,1,87,87,[20920],['192.168.1.105:6666'],quicBaseline
0,1,88,88,[20804],['192.168.1.105:6666'],quicBaseline
0,1,89,89,[20899],['192.168.1.105:6666'],quicBaseline
0,1,90,90,[20478],['192.168.1.105:6666'],quicBaseline
0,1,91,91,[20267],['192.168.1.105:6666'],quicBaseline
0,1,92,92,[20774],['192.168.1.105:6666'],quicBaseline
0,1,93,93,[20309],['192.168.1.105:6666'],quicBaseline
0,1,94,94,[20003],['192.168.1.105:6666'],quicBaseline
0,1,95,95,[20249],['192.168.1.105:6666'],quicBaseline
0,1,96,96,[20710],['192.168.1.105:6666'],quicBaseline
0,1,97,97,[20129],['192.168.1.105:6666'],quicBaseline
0,1,98,98,[20697],['192.168.1.105:6666'],quicBaseline
0,1,99,99,[20724],['192.168.1.105:6666'],quicBaseline
0,1,100,100,[20708],['192.168.1.105:6666'],quicBaseline
